,age,c_charge_degree,days_b_screening_arrest,jailtime,label,priors_count,race,sex
6469,29,0,-1.0,0,0,1,0,Male
6470,30,0,-1.0,1,0,9,0,Male
6472,32,0,-1.0,115,1,1,0,Male
6474,39,1,-120.0,64,1,2,1,Male
6488,27,1,-28.0,28,0,5,0,Male
6489,34,1,22.0,13,0,10,1,Female
6499,21,1,0.0,0,0,2,0,Male
6508,50,0,-3.0,0,0,0,1,Female
6524,24,1,-1.0,0,0,0,1,Male
6547,22,1,-1.0,8,0,3,0,Male
6551,40,1,-73.0,0,1,1,0,Female
6570,24,1,-2.0,0,1,0,1,Male
6572,22,1,-5.0,5,0,0,0,Male
6581,63,0,272.0,9,0,22,0,Male
6589,29,1,-91.0,8,0,8,1,Male
6595,31,0,0.0,1,1,5,0,Male
6600,27,1,0.0,0,0,2,1,Female
6605,36,1,0.0,1,1,0,1,Female
6629,25,0,-27.0,0,0,2,0,Male
6646,34,1,-1.0,0,0,2,0,Male
6657,27,1,-1.0,14,0,10,0,Female
6679,29,1,-1.0,6,0,8,0,Male
6692,32,0,-1.0,0,1,0,0,Male
6693,23,0,-1.0,0,1,0,0,Female
6709,23,1,-1.0,0,1,1,0,Male
6719,26,1,-1.0,1,1,0,1,Male
6739,44,0,-45.0,1,1,1,0,Female
6748,55,1,-43.0,43,1,1,0,Male
6761,32,1,-1.0,3,1,4,0,Male
6768,24,0,0.0,0,0,1,0,Female
6809,24,1,26.0,0,0,1,0,Female
6819,23,0,-1.0,1,1,3,1,Male
6834,32,0,-1.0,9,0,6,0,Male
6845,41,0,-1.0,0,1,3,1,Male
6852,45,0,0.0,1,1,0,0,Female
6857,48,0,-1.0,56,0,11,0,Male
6859,30,0,-4.0,1,0,1,1,Male
6865,28,1,-1.0,43,0,9,0,Male
6866,37,0,-1.0,0,1,0,0,Male
6868,23,0,-1.0,9,0,3,0,Male
6882,58,1,161.0,54,0,12,1,Male
6894,21,1,-1.0,5,1,0,0,Male
6906,67,0,-3.0,0,1,0,1,Female
6912,25,1,-1.0,4,1,1,0,Female
6913,40,1,-28.0,6,0,8,1,Male
6919,32,0,31.0,1,0,8,1,Male
6927,55,0,-1.0,69,0,3,0,Male
6933,22,1,-1.0,1,0,0,0,Male
6934,26,1,-1.0,2,0,2,0,Male
6940,24,0,-1.0,17,1,12,0,Male
6945,21,1,-1.0,1,0,3,1,Male
6949,59,0,-1.0,0,0,0,1,Male
6955,25,1,-1.0,1,1,1,0,Female
6979,46,1,-1.0,0,1,0,1,Male
6983,54,1,0.0,0,1,7,1,Male
6993,23,0,0.0,0,1,0,1,Male
7005,56,0,0.0,-1,0,0,1,Male
7022,46,0,-1.0,1,1,2,0,Male
7023,31,0,0.0,1,0,9,1,Male
7026,57,1,0.0,2,0,28,0,Male
7062,36,1,-1.0,0,0,9,0,Male
7066,20,1,-32.0,1,0,1,1,Male
7071,66,0,-1.0,1,1,0,1,Male
7074,45,0,0.0,75,1,9,0,Female
7081,34,1,-1.0,1,1,5,1,Male
7093,44,0,-1.0,1,0,0,0,Male
7094,23,1,-1.0,28,0,1,0,Female
7098,27,0,0.0,0,0,0,1,Female
7099,23,1,-1.0,2,1,2,0,Male
7108,33,0,-1.0,17,0,4,0,Male
7113,28,1,-1.0,0,1,5,0,Female
7120,43,0,-2.0,0,1,0,1,Female
7121,28,0,-1.0,2,0,6,0,Female
7130,30,1,-1.0,2,0,3,0,Male
7139,35,1,-112.0,112,0,18,0,Male
7164,31,0,-1.0,1,0,7,0,Male
7169,22,0,-1.0,2,1,0,0,Male
7178,22,1,-1.0,0,1,1,1,Female
7183,24,1,0.0,0,0,0,0,Female
7188,36,0,-1.0,0,1,0,1,Male
7202,26,1,0.0,173,1,0,0,Male
7212,33,0,-1.0,1,1,3,0,Female
